,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Step Back","GOT the beat",11639,https://open.spotify.com/track/3LCwQoTrdQgHsGJE5gGVqx
2,ELEVEN,IVE,11472,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
3,"MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom)",sokodomo,11266,https://open.spotify.com/track/2eLe81VDUQ5f0xFfc9cMWz
4,"Dreams Come True",aespa,11003,https://open.spotify.com/track/6rVCUwfnuYTAsX4P9fIdIu
5,"STAY (with Justin Bieber)","The Kid LAROI",9980,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,"Limousine (Feat. MINO) (Prod. GRAY)",BE'O,9533,https://open.spotify.com/track/5g2Ik0WJG9rqu97nCLcQhV
7,Sacrifice,"The Weeknd",9401,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
8,"Out of Time","The Weeknd",9157,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
9,"Counting Stars",BE'O,8468,https://open.spotify.com/track/4MokmgyM83qhJ6IAaChom5
10,"My Universe",Coldplay,7869,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
11,"Christmas Tree",V,7810,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
12,"Meeting is easy, parting is hard (Feat. Leellamarz) (Prod. TOIL)",Basick,7187,https://open.spotify.com/track/1GFS1xMbcAWXf5W0tSuZev
13,Savage,aespa,6746,https://open.spotify.com/track/3dbLT62Cvs46Ju7a8gpr36
14,"Winter Sleep",IU,6651,https://open.spotify.com/track/2y4hHM6c48Qzk0bqh33XfB
15,abcdefu,GAYLE,6610,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
16,"Here We Go… Again (feat. Tyler, The Creator)","The Weeknd",6526,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
17,Gasoline,"The Weeknd",6347,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
18,Butter,BTS,6245,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
19,"How Do I Make You Love Me?","The Weeknd",6136,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
20,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5835,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
21,"Is There Someone Else?","The Weeknd",5739,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
22,"Next Level",aespa,5650,https://open.spotify.com/track/2zrhoHlFKxFTRF5aMyxMoQ
23,"Permission to Dance",BTS,5587,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
24,"Wake Up (Prod. CODE KUNST)",Gaeko,5576,https://open.spotify.com/track/3ijq6sRH7PgRabMb83VvQO
25,"Take My Breath","The Weeknd",5448,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
26,Shivers,"Ed Sheeran",5385,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
27,Drama,IU,5296,https://open.spotify.com/track/02SbQgZbzMoylPoGr32ugF
28,"Dawn FM","The Weeknd",5283,https://open.spotify.com/track/6krYS8KtmNAYyb5uTZiYW4
29,"Best Friends","The Weeknd",5207,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
30,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",5166,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
31,"BREATHE (Feat. MINO) (Prod. GRAY)",Anandelight,5153,https://open.spotify.com/track/36kGkexLBfRK1hqdJ6qmaE
32,"I Heard You’re Married (feat. Lil Wayne)","The Weeknd",5103,https://open.spotify.com/track/5XbA7TAqsD0fj0dGBrbb0D
33,"Dissonance (Feat. AKMU) (Prod. GRAY)","Mudd the student",5056,https://open.spotify.com/track/0AF50NdDzZ3cze2O0SyjXf
34,"Heat Waves","Glass Animals",5050,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
35,"Easy On Me",Adele,4960,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
36,Suddenly,BE'O,4804,https://open.spotify.com/track/7gXMkqirKU23zgdlSAb00a
37,"Less Than Zero","The Weeknd",4757,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
38,"Bad Habits","Ed Sheeran",4746,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
39,"strawberry moon",IU,4719,https://open.spotify.com/track/2g0LdZQce9xlcHb1mBJyuz
40,"Without You (Feat. ASH ISLAND) (Prod. GRAY)",BE'O,4643,https://open.spotify.com/track/4t3Vgfjl9Sb6ZR5q5kGOUL
41,"OHAYO MY NIGHT",D-Hack,4444,https://open.spotify.com/track/4iJprGt1rt5iy0sxXXaRWn
42,"A Tale By Quincy","The Weeknd",4430,https://open.spotify.com/track/759ndr57jb0URg4j9YSWml
43,Ghost,"Justin Bieber",4422,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
44,"Traffic light","Lee Mujin",4419,https://open.spotify.com/track/03qu1u4hDyepQQi2lNxCka
45,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4360,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
46,Dynamite,BTS,4288,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
47,"One Right Now (with The Weeknd)","Post Malone",4244,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
48,"Starry Eyes","The Weeknd",4230,https://open.spotify.com/track/6zzdyvVWjGrQBraSvuqJPY
49,MONEY,LISA,4184,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
50,"Next Stop",IU,4059,https://open.spotify.com/track/2qd4cLpENPf0gBia8WFi0m
51,"NAKKA (with IU)",AKMU,3843,https://open.spotify.com/track/4t2FIqZJORKZGSKg30SShr
