,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sacrifice,"The Weeknd",1950078,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
2,Gasoline,"The Weeknd",1841998,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
3,"Dawn FM","The Weeknd",1749943,https://open.spotify.com/track/3jQvH2VoTRe5CEnIS0MnCE
4,"How Do I Make You Love Me?","The Weeknd",1735277,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
5,"Out of Time","The Weeknd",1529269,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
6,"Is There Someone Else?","The Weeknd",1511028,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
7,"Here We Go… Again (feat. Tyler, The Creator)","The Weeknd",1468467,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
8,"Take My Breath","The Weeknd",1432438,https://open.spotify.com/track/0XvDZGVqGYM7P4rgzRnWhq
9,"Best Friends","The Weeknd",1336838,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
10,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",1260761,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
11,"I Heard You’re Married (feat. Lil Wayne)","The Weeknd",1248711,https://open.spotify.com/track/5XbA7TAqsD0fj0dGBrbb0D
12,"Starry Eyes","The Weeknd",1204379,https://open.spotify.com/track/5Fxstmke6g6iWEQ2UoGWpa
13,"Fingers Crossed","Lauren Spencer-Smith",1182298,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
14,"pushin P (feat. Young Thug)",Gunna,1174283,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
15,"A Tale By Quincy","The Weeknd",1136781,https://open.spotify.com/track/759ndr57jb0URg4j9YSWml
16,"Less Than Zero","The Weeknd",1130568,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
17,"thought i was playing",Gunna,1042226,https://open.spotify.com/track/3XLbDUB5BX2WqL2qoAsvtb
18,"Every Angel is Terrifying","The Weeknd",1020904,https://open.spotify.com/track/3vJcz8exedHCjQ9ed95NqU
19,"Don’t Break My Heart","The Weeknd",999418,https://open.spotify.com/track/0iZ7MgaUedNHqlqg9PMqsY
20,"Heat Waves","Glass Animals",917903,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,"mop (feat. Young Thug)",Gunna,856367,https://open.spotify.com/track/2ZGEjmwyeZ3rpEezkZwqOP
22,"Surface Pressure","Jessica Darrow",852964,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
23,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",836695,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
24,"poochie gown",Gunna,835421,https://open.spotify.com/track/5UwA4sYMyaLALd3F2hUgjR
25,"25k jacket (feat. Lil Baby)",Gunna,817699,https://open.spotify.com/track/0boodYr1uIpSVmGSP65Fmk
26,"STAY (with Justin Bieber)","The Kid LAROI",816299,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
27,"Super Gremlin","Kodak Black",801232,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
28,"alotta cake",Gunna,794919,https://open.spotify.com/track/2iCDO8ePNuCvMiMFc0FQdA
29,"Phantom Regret by Jim","The Weeknd",794372,https://open.spotify.com/track/1NlK2NtpuUazpziLhnJwEV
30,"how you did that (feat. Kodak Black)",Gunna,788308,https://open.spotify.com/track/49W1ZqawgaAwbIY3Hlrp0K
31,"private island",Gunna,774942,https://open.spotify.com/track/0syVTyo71ordJjSd8cuElB
32,abcdefu,GAYLE,771354,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
33,"Easy On Me",Adele,716369,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
34,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",643029,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
35,"Need to Know","Doja Cat",627635,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
36,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,604111,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
37,"south to west",Gunna,600303,https://open.spotify.com/track/6hP9uvjkqnt8u2i9u2xhJC
38,"livin wild",Gunna,596602,https://open.spotify.com/track/2Ep9xSNftebXZkSQp1yM25
39,"idk that bitch (feat. G Herbo)",Gunna,591350,https://open.spotify.com/track/5ts6i8uvQcihNqmUcxRMFk
40,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",581980,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
41,"too easy",Gunna,576974,https://open.spotify.com/track/2Hph3X77ySNgBCIak5CMc6
42,"good 4 u","Olivia Rodrigo",572271,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
43,"I Hate U",SZA,572051,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
44,"Kiss Me More (feat. SZA)","Doja Cat",567443,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
45,"you & me",Gunna,558550,https://open.spotify.com/track/4xTRiW8KxQjf6JxeyozXkZ
46,"Cold Heart - PNAU Remix","Elton John",554433,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
47,"I Love You So","The Walters",525304,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
48,"Dark Red","Steve Lacy",509768,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
49,Woman,"Doja Cat",507305,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
50,flooded,Gunna,505695,https://open.spotify.com/track/2uir82NkzZ8yIT01L6UoJj
51,Shivers,"Ed Sheeran",501333,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
52,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,499317,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
53,"The Family Madrigal","Stephanie Beatriz",489861,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
54,"family ties (with Kendrick Lamar)","Baby Keem",480672,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
55,"What Else Can I Do?","Diane Guerrero",479173,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
56,"Meet Me At Our Spot","THE ANXIETY",473637,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
57,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",469614,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
58,"One Right Now (with The Weeknd)","Post Malone",467243,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
59,"Smokin Out The Window","Bruno Mars",463208,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
60,"Sweater Weather","The Neighbourhood",456368,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,Sky,"Playboi Carti",434125,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
62,"Happier Than Ever","Billie Eilish",406483,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
63,"Bad Habits","Ed Sheeran",404180,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
64,RAPSTAR,"Polo G",403162,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
65,"Way 2 Sexy (with Future & Young Thug)",Drake,398604,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
66,"Dos Oruguitas","Sebastian Yatra",397276,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
67,"too easy (Remix) [feat. Future & Roddy Ricch]",Gunna,393201,https://open.spotify.com/track/58eOTmtMDTcTxRPXbZAvcR
68,"Blinding Lights","The Weeknd",389522,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
69,"life of sin (feat. Nechie)",Gunna,388518,https://open.spotify.com/track/1x4Lh9haIoqC5EkyDXLiGo
70,"die alone (feat. Yung Bleu)",Gunna,388298,https://open.spotify.com/track/18vfufHymhqpdaoE1ApnLT
71,"MONTERO (Call Me By Your Name)","Lil Nas X",388164,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
72,traitor,"Olivia Rodrigo",387789,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
73,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",386966,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
74,"No Role Modelz","J. Cole",384501,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
75,"Levitating (feat. DaBaby)","Dua Lipa",382910,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
76,"You Right","Doja Cat",378590,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
77,"Waiting On A Miracle","Stephanie Beatriz",378359,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
78,2055,"Sleepy Hallow",368987,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
79,"By Your Side","Rod Wave",362202,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
80,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",358448,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
81,Pepas,Farruko,355813,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
82,Ghost,"Justin Bieber",355453,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
83,"missing me",Gunna,353945,https://open.spotify.com/track/127SgtpqtR3n5rYHLJi1Yw
84,"Flower Shops (feat. Morgan Wallen)",ERNEST,352997,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ
85,"Oh My God",Adele,352814,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
86,"I AM WOMAN","Emmy Meli",344379,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
87,"drivers license","Olivia Rodrigo",342354,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
88,"THATS WHAT I WANT","Lil Nas X",342011,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
89,"Do It To It",ACRAZE,341287,https://open.spotify.com/track/20on25jryn53hWghthWWW3
90,"so far ahead > empire",Gunna,337377,https://open.spotify.com/track/2tPY0ufHip4dbxktOfJJDO
91,Freaks,"Surf Curse",333781,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
92,"Get Into It (Yuh)","Doja Cat",332880,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
93,"20 Min","Lil Uzi Vert",332484,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
94,"deja vu","Olivia Rodrigo",325251,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
95,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",320130,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
96,"Wants and Needs (feat. Lil Baby)",Drake,319981,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
97,"Already Dead","Juice WRLD",317410,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
98,"Lucid Dreams","Juice WRLD",317104,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
99,"Praise God","Kanye West",309665,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
100,Infinity,"Jaymes Young",309329,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
101,"Space Song","Beach House",308535,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
102,505,"Arctic Monkeys",307828,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
103,"love nwantiti (ah ah ah)",CKay,306817,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
104,"Good Days",SZA,306344,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
105,"Bad Man (Smooth Criminal)","Polo G",303912,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
106,"Alien Blues",Vundabar,303788,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
107,"All Girls Are The Same","Juice WRLD",302248,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
108,"Fair Trade (with Travis Scott)",Drake,299629,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
109,"My Universe",Coldplay,298516,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
110,"Mr. Rager","Kid Cudi",298327,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
111,"Circles Around This Town","Maren Morris",297548,https://open.spotify.com/track/13G5xv1wUKvJYbK0wYmioN
112,"Fancy Like","Walker Hayes",296245,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
113,"Pursuit Of Happiness (Nightmare)","Kid Cudi",296234,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
114,Burn,"Juice WRLD",295817,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
115,"Martin & Gina","Polo G",292039,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
116,Beggin',Måneskin,290787,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
117,YKWIM?,"Yot Club",289561,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
118,"Jugaste y Sufrí","Eslabon Armado",289550,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
119,"See You Again (feat. Kali Uchis)","Tyler, The Creator",289382,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
120,"Love & War","Kodak Black",288865,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
121,"Daddy Issues","The Neighbourhood",286214,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
122,"Die For You","The Weeknd",285816,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
123,"Tell Em",Cochise,284831,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
124,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",284360,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
125,"Buy Dirt","Jordan Davis",284212,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
126,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",283123,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
127,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",282741,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
128,"All Of You","Stephanie Beatriz",281053,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
129,"Miserable Man","David Kushner",278765,https://open.spotify.com/track/6gPPoRYJwCsoB2VVdPJfmo
130,"Mr. Brightside","The Killers",277507,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
131,"Leave The Door Open","Bruno Mars",274955,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
132,"The Hills","The Weeknd",272431,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
133,Toxic,BoyWithUke,270777,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
134,Circles,"Post Malone",268890,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
135,Streets,"Doja Cat",268289,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
136,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",267414,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
137,"Save Your Tears","The Weeknd",266978,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
138,"SLOW DANCING IN THE DARK",Joji,266732,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
139,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",263511,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
140,"NEW MAGIC WAND","Tyler, The Creator",263219,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
141,"Man in the Mirror","A Boogie Wit da Hoodie",262365,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
142,Notion,"The Rare Occasions",261245,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
143,Softcore,"The Neighbourhood",260556,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
144,"Ain't Shit","Doja Cat",260400,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
145,"Wandered To LA (with Justin Bieber)","Juice WRLD",259883,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh
146,"Money Trees","Kendrick Lamar",259863,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
147,"Life Goes On","Oliver Tree",259777,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
148,"No Love (with SZA)","Summer Walker",256177,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
149,"Heartbreak Anniversary",Giveon,255314,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
150,"The Spins","Mac Miller",254695,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
